filename,#CodeChurnInFile,MaxSizeCodeChurn,AvgSizeCodeChurn,#Commits,#Contributors,#MinorContributors,#ContibutorExperience,#Hunks,#LinesAdded,MaxLinesAdded,AvgLinesAdded,#LinesRemoved,MaxLinesRemoved,AvgLinesRemoved,vulnerable
reviewboard\static\rb\js\reviewRequestPage\models\reviewReplyEditorModel.es6.js,204,127,9,23,4,1,51.3,1,371,127,16,167,43,7,0
reviewboard\static\rb\js\reviewRequestPage\models\tests\reviewReplyEditorModelTests.es6.js,422,321,22,19,4,1,40.21,2,773,321,41,351,111,18,0
reviewboard\static\rb\js\reviewRequestPage\views\tests\reviewViewTests.es6.js,267,147,21,13,2,0,53.41,2,346,147,27,79,29,6,0
reviewboard\static\rb\js\reviewRequestPage\views\reviewReplyDraftBannerView.es6.js,83,83,42,2,1,0,100.0,1.0,84,83,42,1,1,0,0
reviewboard\static\rb\js\reviewRequestPage\views\tests\reviewReplyDraftBannerViewTests.es6.js,112,51,9,12,4,0,39.63,1.0,138,51,12,26,9,2,0
reviewboard\static\rb\js\views\uploadAttachmentView.es6.js,454,173,30,15,7,3,39.81,2,536,173,36,82,35,5,0
reviewboard\static\rb\js\reviewRequestPage\views\tests\reviewReplyEditorViewTests.es6.js,158,114,12,13,3,0,58.33,2,223,114,17,65,33,5,0
.browserslistrc,31,24,10,3,1,0,100.0,2,41,26,14,10,8,3,0
reviewboard\static\rb\js\.jshintrc,15,15,3,5,3,0,60.0,1,20,15,4,5,2,1,0
reviewboard\static\rb\js\newReviewRequest\views\commitsView.es6.js,119,36,17,7,2,0,65.33,2,159,39,23,40,20,6,0
reviewboard\static\rb\js\resources\collections\repositoryCommitsCollection.es6.js,158,45,20,8,3,0,66.8,4.0,207,57,26,49,20,6,0
docs\manual\admin\integrations\images\matrix-config-conditions.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\matrix-config-conditions@2x.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\matrix-config-general.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\matrix-config-general@2x.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\matrix-config-where.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\matrix-config-where@2x.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\index.rst,61,47,7,9,5,3,74.6,2,62,47,7,1,1,0,0
docs\manual\admin\integrations\matrix.rst,57,57,57,1,1,0,100.0,1,57,57,57,0,0,0,0
docs\manual\admin\integrations\jenkins-ci.rst,149,148,74,2,2,1,99.33,1.0,149,148,74,0,0,0,0
reviewboard\scmtools\testdata\stunnel.pem,69,31,23,3,2,0,82.49,2,123,46,41,54,27,18,0
docs\releasenotes\4.0.4.rst,144,144,72,2,1,0,100.0,1.0,145,144,72,1,1,0,0
docs\manual\admin\installation\docker.rst,459,407,153,3,1,0,100.0,2,466,407,155,7,7,2,0
reviewboard\static\lib\css\codemirror-5.62.0.css,350,263,50,7,4,0,41.92,1,577,263,82,227,116,32,0
contrib\docker\scripts\docker-entrypoint.sh,88,79,29,3,2,0,94.32,1,88,79,29,0,0,0,0
reviewboard\static\lib\js\README.codemirror,70,25,5,13,4,0,34.76,3,117,39,9,47,14,4,0
reviewboard\static\lib\js\codemirror-5.62.0.js,18414,18011,9207,2,2,0,92.97,170.0,18893,18011,9446,479,479,240,0
reviewboard\static\rb\js\reviewRequestPage\models\entryModel.es6.js,155,69,26,6,1,0,100.0,4.0,163,69,27,8,5,1,0
reviewboard\static\rb\js\reviewRequestPage\models\reviewRequestPageModel.es6.js,469,390,78,6,1,0,100.0,2.0,521,392,87,52,35,9,0
reviewboard\static\rb\js\reviewRequestPage\models\tests\entryModelTests.es6.js,69,43,14,5,1,0,100.0,2,79,46,16,10,3,2,0
reviewboard\static\rb\js\reviewRequestPage\models\tests\reviewRequestPageModelTests.es6.js,783,368,157,5,1,0,100.0,11,1006,368,201,223,206,45,0
docs\releasenotes\4.0.3.rst,98,98,49,2,1,0,100.0,1.0,99,98,50,1,1,0,0
reviewboard\static\rb\js\resources\collections\tests\repositoryCommitsCollectionTests.es6.js,76,76,38,2,2,0,92.68,2.0,79,76,40,3,3,2,0
reviewboard\static\rb\js\views\collectionView.es6.js,188,84,24,8,3,1,76.45,4.0,266,84,33,78,41,10,0
reviewboard\static\rb\js\views\tests\collectionViewTests.es6.js,207,110,34,6,3,1,68.8,1.0,275,110,46,68,43,11,0
docs\releasenotes\4.0.2.rst,86,71,43,2,1,0,100.0,1.0,87,71,44,1,1,0,0
docs\releasenotes\3.0.24.rst,92,77,46,2,1,0,100.0,1.5,93,77,46,1,1,0,0
reviewboard\extensions\tests\__init__.py,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\releasenotes\4.0.1.rst,53,53,26,2,1,0,100.0,1.0,54,53,27,1,1,0,0
reviewboard\static\rb\css\syntax.less,338,300,113,3,1,0,100.0,3,366,300,122,28,27,9,0
reviewboard\templates\admin\widgets\w-server-cache.html,47,42,16,3,3,0,68.85,3,54,42,18,7,4,2,0
reviewboard\static\rb\js\admin\views\tests\dashboardPageViewTests.es6.js,190,145,63,3,2,1,99.47,1,190,145,63,0,0,0,0
docs\releasenotes\4.0.rst,684,681,342,2,1,0,100.0,2.0,689,681,344,5,5,2,0
docs\releasenotes\3.0.23.rst,20,20,20,1,1,0,100.0,1,20,20,20,0,0,0,0
docs\releasenotes\3.0.22.rst,34,33,11,3,1,0,100.0,1,36,33,12,2,1,1,0
docs\releasenotes\3.0.21.rst,121,99,30,4,1,0,100.0,1.5,125,99,31,4,2,1,0
docs\releasenotes\4.0-rc-2.rst,123,104,62,2,1,0,100.0,2.5,124,104,62,1,1,0,0
reviewboard\static\rb\css\ui\buttons.less,801,425,50,16,4,0,73.31,3.0,1103,603,69,302,178,19,0
docs\releasenotes\4.0-rc-1.rst,205,197,102,2,1,0,100.0,1.5,206,197,103,1,1,0,0
reviewboard\templates\admin\sidebar.html,68,114,2,28,6,1,33.12,2.5,434,114,16,366,68,13,0
reviewboard\static\rb\css\ui\sidebars.less,606,331,55,11,3,2,97.2,5,874,501,79,268,170,24,0
docs\releasenotes\4.0-beta-1.rst,496,498,124,4,1,0,100.0,1.0,501,498,125,5,3,1,0
docs\releasenotes\4.0-beta-2.rst,184,184,61,3,1,0,100.0,1,186,184,62,2,1,1,0
contrib\docker\packages\.gitignore,1,1,1,1,1,0,100.0,1,1,1,1,0,0,0,0
contrib\docker\scripts\serve.sh,12,12,12,1,1,0,100.0,1,12,12,12,0,0,0,0
docs\manual\admin\installation\index.rst,0,1,0,6,3,0,66.67,1.0,3,1,0,3,2,0,0
reviewboard\cmdline\conf\reviewboard.wsgi.in,-2,4,0,5,3,1,68.18,1,10,4,2,12,9,2,0
reviewboard\cmdline\utils\__init__.py,0,0,0,1,,,,0,0,0,0,0,0,0,0
reviewboard\static\rb\js\ui\views\tests\dialogViewTests.es6.js,227,135,76,3,3,0,42.86,1,271,135,90,44,44,15,0
docs\releasenotes\3.0.20.rst,50,50,25,2,1,0,100.0,1.0,51,50,26,1,1,0,0
reviewboard\cmdline\conf\settings_local.py.in,30,30,30,1,1,0,100.0,1,30,30,30,0,0,0,0
reviewboard\cmdline\tests\__init__.py,0,0,0,1,,,,0,0,0,0,0,0,0,0
reviewboard\templates\admin\widgets\repositories.html,42,42,42,1,1,0,100.0,1,42,42,42,0,0,0,0
reviewboard\admin\tests\__init__.py,0,0,0,2,,,,0.0,0,0,0,0,0,0,0
reviewboard\site\templatetags\__init__.py,0,6,0,5,3,0,68.42,1,19,9,4,19,12,4,0
reviewboard\templates\admin\submit_line.html,31,33,10,3,1,0,100.0,3,47,33,16,16,13,5,0
reviewboard\search\tests\__init__.py,0,0,0,1,,,,0,0,0,0,0,0,0,0
reviewboard\admin\management\__init__.py,-8,21,-3,3,2,1,96.67,1,26,24,9,34,31,11,0
reviewboard\scmtools\management\__init__.py,-13,18,-4,3,2,1,96.72,1,24,22,8,37,33,12,0
reviewboard\templates\admin\manual-updates\version-mismatch.html,67,38,11,6,3,0,49.4,1.0,75,38,12,8,2,1,0
docs\manual\admin\integrations\discord.rst,57,57,57,1,1,0,100.0,1,57,57,57,0,0,0,0
docs\manual\admin\integrations\images\discord-add-integration.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\discord-add-integration@2x.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\discord-config-conditions.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\discord-config-conditions@2x.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\discord-config-general.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\discord-config-general@2x.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\discord-config-where.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
docs\manual\admin\integrations\images\discord-config-where@2x.png,0,0,0,1,,,,0,0,0,0,0,0,0,0
reviewboard\static\rb\css\ui\search-field.less,69,62,23,3,1,0,100.0,1,77,62,26,8,6,3,0
reviewboard\static\rb\css\pages\admin\security-center.less,39,37,20,2,2,0,86.05,2.0,41,37,20,2,2,1,0
reviewboard\templates\accounts\password_reset_email.txt,0,0,0,6,2,0,66.67,1.0,6,1,1,6,1,1,0
docs\releasenotes\3.0.19.rst,208,208,104,2,1,0,100.0,1.0,209,208,104,1,1,0,0
reviewboard\static\rb\js\reviewRequestPage\views\reviewReplyEditorView.js,8,13,3,3,1,0,100.0,3,23,16,8,15,10,5,0
reviewboard\static\rb\js\reviewRequestPage\views\tests\reviewReplyEditorViewTests.js,16,14,8,2,1,0,100.0,3.5,21,15,10,5,4,2,0
reviewboard\static\rb\js\models\userSessionModel.js,277,121,18,15,6,2,46.85,2,369,121,25,92,37,6,0
reviewboard\static\rb\js\pages\views\datagridPageView.es6.js,282,274,20,14,4,2,75.54,2.0,468,274,33,186,96,13,0
reviewboard\static\rb\js\reviewRequestPage\models\reviewReplyEditorModel.js,1,1,1,1,1,0,100.0,1,1,1,1,0,0,0,0
reviewboard\templates\reviews\review_reply_section.html,6,20,0,17,6,1,27.08,1,75,22,4,69,15,4,0
reviewboard\diffviewer\models.py,59,37,30,2,2,0,58.73,3.0,61,37,30,2,2,1,0
reviewboard\static\rb\js\views\tests\textBasedReviewableViewTests.es6.js,172,86,43,4,2,0,81.9,2.5,191,86,48,19,12,5,0
reviewboard\templates\forms\field.html,42,42,21,2,2,1,95.45,1.0,43,42,22,1,1,0,0
reviewboard\static\rb\js\reviewRequestPage\models\statusUpdatesEntryModel.es6.js,83,56,17,5,3,0,67.96,3,93,56,19,10,5,2,0
reviewboard\static\rb\js\reviewRequestPage\models\tests\statusUpdatesEntryModelTests.es6.js,55,43,9,6,2,0,91.3,2.0,62,43,10,7,2,1,0
reviewboard\static\rb\js\reviewRequestPage\views\baseStatusUpdatesEntryView.es6.js,144,105,48,3,2,0,73.65,2,146,105,49,2,2,1,0
reviewboard\static\rb\js\reviewRequestPage\views\tests\baseStatusUpdatesEntryViewTests.es6.js,172,108,57,3,2,0,63.07,1,174,108,58,2,1,1,0
reviewboard\templates\reviews\status_update_summary.html,13,7,4,3,2,0,86.67,1,14,7,5,1,1,0,0
reviewboard\scmtools\testdata\git_new_binaries.diff,386,193,193,2,1,0,100.0,1.0,386,193,193,0,0,0,0
reviewboard\scmtools\testdata\git_new_single_binary.diff,1302,651,651,2,1,0,100.0,1.0,1302,651,651,0,0,0,0
reviewboard\templates\datagrids\hideable_listview.html,12,30,3,4,3,0,52.78,2.0,42,30,10,30,26,8,0
reviewboard\templates\datagrids\review_request_listview.html,2,13,0,13,8,5,50.0,2,94,23,7,92,23,7,0
reviewboard\templates\datagrids\user_listview.html,12,12,4,3,3,0,60.0,2,16,12,5,4,2,1,0
docs\manual\extending\extensions\review-ui.rst,216,189,18,12,5,3,54.15,1.0,313,189,26,97,74,8,0
reviewboard\templates\extensions\admin\extension_list.html,36,36,36,1,1,0,100.0,1,36,36,36,0,0,0,0
reviewboard\notifications\evolutions\__init__.py,9,4,2,4,2,0,55.56,1.0,9,4,2,0,0,0,0
reviewboard\templates\djblets_forms\admin\change_form_page.html,19,22,6,3,1,0,100.0,1,28,22,9,9,8,3,0
reviewboard\templates\djblets_forms\admin\form_fieldsets.html,1,1,0,2,1,0,100.0,0.5,1,1,0,0,0,0,0
reviewboard\templates\forms\subforms.html,5,3,2,2,1,0,100.0,1.0,6,3,3,1,1,0,0
docs\releasenotes\3.0.18.rst,244,244,122,2,1,0,100.0,1.0,245,244,122,1,1,0,0
reviewboard\templates\admin\widgets\w-actions.html,0,0,0,1,1,0,100.0,2,3,3,3,3,3,3,0
reviewboard\scmtools\testdata\svn_repo\db\current,0,0,0,4,2,0,75.0,1.0,4,1,1,4,1,1,0
reviewboard\scmtools\testdata\svn_repo\db\revprops\11,14,14,14,1,1,0,100.0,1,14,14,14,0,0,0,0
reviewboard\scmtools\testdata\svn_repo\db\revprops\12,14,14,14,1,1,0,100.0,1,14,14,14,0,0,0,0
reviewboard\scmtools\testdata\svn_repo\db\revs\11,0,0,0,1,,,,0,0,0,0,0,0,0,0
reviewboard\scmtools\testdata\svn_repo\db\revs\12,60,60,60,1,1,0,100.0,1,60,60,60,0,0,0,0
reviewboard\scmtools\testdata\svn_repo\db\transactions\.empty,0,0,0,1,,,,0,0,0,0,0,0,0,0
reviewboard\static\rb\js\admin\views\changeListPageView.es6.js,193,196,64,3,2,1,97.21,1,204,196,68,11,9,4,0
reviewboard\static\rb\js\views\tests\uploadAttachmentViewTests.es6.js,137,137,137,1,1,0,100.0,1,137,137,137,0,0,0,0
reviewboard\cmdline\conf\__init__.py,0,0,0,1,,,,0,0,0,0,0,0,0,0
reviewboard\cmdline\conf\rbssh\__init__.py,0,0,0,1,,,,0,0,0,0,0,0,0,0
reviewboard\cmdline\conf\rbssh\settings.py,19,19,19,1,1,0,100.0,1,19,19,19,0,0,0,0
reviewboard\static\rb\js\utils\linkifyUtils.es6.js,191,189,32,6,5,4,93.1,1.0,197,189,33,6,2,1,0
reviewboard\static\rb\js\utils\tests\linkifyUtilsTests.es6.js,332,167,21,16,6,1,29.83,3.0,466,167,29,134,29,8,0
reviewboard\templates\admin\dashboard.html,-82,87,-3,26,8,2,31.77,2.0,343,90,13,425,99,16,0
reviewboard\static\rb\js\admin\views\dashboardPageView.es6.js,194,78,39,5,2,1,98.1,2,255,104,51,61,58,12,0
reviewboard\static\rb\js\admin\views\pageView.es6.js,5,5,5,1,1,0,100.0,1,5,5,5,0,0,0,0
docs\manual\extending\extensions\review-request-fields.rst,169,169,84,2,2,1,98.83,1.0,170,169,85,1,1,0,0
reviewboard\templates\forms\fieldset.html,19,17,10,2,1,0,100.0,2.5,21,17,10,2,2,1,0
reviewboard\static\rb\js\ui\views\tests\formViewTests.es6.js,200,145,100,2,1,0,100.0,4.5,203,148,102,3,3,2,0
reviewboard\templates\admin\ssh_settings.html,63,45,8,8,5,2,58.64,2.0,179,109,22,116,64,14,0
reviewboard\static\rb\css\ui\page-sidebar.less,394,343,56,7,1,0,100.0,1,410,343,59,16,9,2,0
reviewboard\static\rb\js\views\fileAttachmentThumbnailView.js,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1,0
reviewboard\templates\reviews\ui\base.html,79,39,2,33,6,2,31.83,2,217,39,7,138,20,4,0
reviewboard\static\rb\js\ui\views\splitButtonView.es6.js,80,213,16,5,3,0,51.38,14,366,213,73,286,177,57,0
reviewboard\templates\reviews\changedesc_file_attachment.html,20,33,5,4,2,0,60.34,1.5,39,33,10,19,18,5,0
reviewboard\templates\admin\includes\field.html,28,26,14,2,1,0,100.0,1.0,30,26,15,2,2,1,0
reviewboard\templates\djblets_forms\admin\form_field.html,1,1,1,1,1,0,100.0,1,1,1,1,0,0,0,0
reviewboard\templates\djblets_forms\admin\form_fieldset.html,1,1,1,1,1,0,100.0,1,1,1,1,0,0,0,0
reviewboard\templates\djblets_forms\form_field.html,1,1,1,1,1,0,100.0,1,1,1,1,0,0,0,0
reviewboard\templates\djblets_forms\form_fieldset.html,1,1,1,1,1,0,100.0,1,1,1,1,0,0,0,0
reviewboard\templates\forms\fieldsets.html,13,13,13,1,1,0,100.0,1,13,13,13,0,0,0,0
reviewboard\templates\siteconfig\settings.html,15,15,15,1,1,0,100.0,1,15,15,15,0,0,0,0
