CVE-ID,fixed_hash,repository
CVE-1999-0199,2864e767053317538feafa815046fff89e5a16be,https://github.com/bminor/glibc
CVE-1999-0731,04906bd5de2f220bf100b605dad37b4a1d9a91a6,https://github.com/KDE/kde1-kdebase
CVE-2002-2443,cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,https://github.com/krb5/krb5
CVE-2006-3635,4dcc29e1574d88f4465ba865ed82800032f76418,https://github.com/torvalds/linux
CVE-2006-5331,6c4841c2b6c32a134f9f36e5e08857138cc12b10,https://github.com/torvalds/linux
CVE-2007-6761,0b29669c065f60501e7289e1950fa2a618962358,https://github.com/torvalds/linux
CVE-2007-6762,2a2f11c227bdf292b3a2900ad04139d301b56ac4,https://github.com/torvalds/linux
CVE-2008-5619,8beacc646acb67c995aea10ac5585970efc7355a,https://github.com/PHPMailer/PHPMailer
CVE-2008-7050,7dd6367ae85003dd5d715431b6ab695f2c2f200a,https://github.com/Illydth/wowraidmanager
CVE-2008-7316,124d3b7041f9a0ca7c43a6293e1cae4576c32fd5,https://github.com/torvalds/linux
CVE-2009-1194,4de30e5500eaeb49f4bf0b7a07f718e149a2ed5e,https://github.com/bratsche/pango
CVE-2009-3287,7bd027914c5ffd36bb408ef47dc749de3b6e063a,https://github.com/macournoyer/thin
CVE-2009-3627,b9aae1e43eb2c8e989510187cff0ba3e996f9a4c,https://github.com/gisle/html-parser
CVE-2009-5145,2abdf14620f146857dc8e3ffd2b6a754884c331d,https://github.com/zopefoundation/Zope
CVE-2010-0011,1958b52d41cba96956dc1995660de49525ed1047,https://github.com/Dieterbe/uzbl
CVE-2010-1152,d9cd01ede97f4145af9781d448c62a3318952719,https://github.com/memcached/memcached
CVE-2010-1152,75cc83685e103bc8ba380a57468c8f04413033f9,https://github.com/memcached/memcached
CVE-2010-1155,85bbc05b21678e80423815d2ef1dfe26208491ab,https://github.com/ensc/irssi-proxy
CVE-2010-1630,4ea3402f9363c9259881bc8ea6ce7fc6cb212657,https://github.com/phpbb/phpbb3
CVE-2010-2060,2e8e8c6387ecdf5923dfc4d7718d18eba1b0873d,https://github.com/kr/beanstalkd
CVE-2010-2761,e4942b871a26c1317a175a91ebb7262eea59b380,https://github.com/AndyA/CGI--Simple
CVE-2010-2809,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,https://github.com/Dieterbe/uzbl
CVE-2010-3260,aba6681660f65af7f1676434da68c10298c30200,https://github.com/orbeon/orbeon-forms
CVE-2010-3844,4ef3ede30181eca9add74305ad26dbcb0c3686a0,https://github.com/Ettercap/ettercap
CVE-2010-4250,a2ae4cc9a16e211c8a128ba10d22a85431f093ab,https://github.com/torvalds/linux
CVE-2010-4254,cf1ec146f7c6acdc6697032b3aaafc68ffacdcac,https://github.com/mono/mono
CVE-2010-4264,4535a059e4e24ca11a2ef0b4d754f262398bcece,https://github.com/vanilla/vanilla
CVE-2010-4335,e431e86aa4301ced4273dc7919b59362cbb353cb,https://github.com/cakephp/cakephp
CVE-2010-4648,0a54917c3fc295cb61f3fb52373c173fd3b69f48,https://github.com/torvalds/linux
CVE-2010-4650,7572777eef78ebdee1ecb7c258c0ef94d35bad16,https://github.com/torvalds/linux
CVE-2010-4802,b3a1fb453eda447c0bb082cd9eed81bb75a7564a,https://github.com/kraih/mojo
CVE-2010-4802,aa7c8da54b1ebd4ccb64aa66dede7b7cdb381c44,https://github.com/kraih/mojo
CVE-2010-5312,7e9060c109b928769a664dbcc2c17bd21231b6f3,https://github.com/jquery/jquery-ui
CVE-2010-5313,fc3a9157d3148ab91039c75423da8ef97be3e105,https://github.com/torvalds/linux
CVE-2010-5327,90c4e85a8f8135f069f3f05e4d54a77704769f91,https://github.com/liferay/liferay-portal
CVE-2010-5328,fa2755e20ab0c7215d99c2dc7c262e98a09b01df,https://github.com/torvalds/linux
CVE-2010-5328,f20011457f41c11edb5ea5038ad0c8ea9f392023,https://github.com/torvalds/linux
CVE-2010-5328,f106eee10038c2ee5b6056aaf3f6d5229be6dcdd,https://github.com/torvalds/linux
CVE-2010-5329,fc0a80798576f80ca10b3f6c9c7097f12fd1d64e,https://github.com/torvalds/linux
CVE-2010-5331,0031c41be5c529f8329e327b63cde92ba1284842,https://github.com/torvalds/linux
CVE-2010-5332,0926f91083f34d047abc74f1ca4fa6a9c161f7db,https://github.com/torvalds/linux
CVE-2011-0006,867c20265459d30a01b021a9c1e81fb4c5832aa9,https://github.com/torvalds/linux
CVE-2011-0469,76b0ab003f34435ca90d943e02dd22279cdeec2a,https://github.com/openSUSE/open-build-service
CVE-2011-0469,23c8d21c75242999e29379e6ca8418a14c8725c6,https://github.com/openSUSE/open-build-service
CVE-2011-0530,3ef52043861ab16352d49af89e048ba6339d6df8,https://github.com/yoe/nbd
CVE-2011-0716,6b0d6a9b4296fa16a28d10d416db7a770fc03287,https://github.com/torvalds/linux
CVE-2011-0766,f228601de45c5b53241b103af6616453c50885a5,https://github.com/erlang/otp
CVE-2011-0991,89d1455a80ef13cddee5d79ec00c06055da3085c,https://github.com/mono/mono
CVE-2011-0991,8eb1189099e02372fd45ca1c67230eccf1edddc0,https://github.com/mono/mono
CVE-2011-0992,722f9890f09aadfc37ae479e7d946d5fc5ef7b91,https://github.com/mono/mono
CVE-2011-1007,917c211820590950f7eb0521f7f43b31aeed44c4,https://github.com/bestpractical/rt
CVE-2011-1007,057552287159e801535e59b8fbd5bd98d1322069,https://github.com/bestpractical/rt
CVE-2011-1008,2338cd19ed7a7f4c1e94f639ab2789d6586d01f3,https://github.com/bestpractical/rt
CVE-2011-1019,8909c9ad8ff03611c9c96c9a92656213e4bb495b,https://github.com/torvalds/linux
CVE-2011-1021,526b4af47f44148c9d665e57723ed9f86634c6e3,https://github.com/torvalds/linux
CVE-2011-1023,6094628bfd94323fc1cea05ec2c6affd98c18f7f,https://github.com/torvalds/linux
